"Region","Regional Contact","Regional Review","Regional Contact Comments","Project","Species","Caribou Ecotype","Caribou Population Unit","Management Area","WLH ID","Animal ID","Sex","Life Stage","Calf at Heel","Ear Tag Right","Ear Tag Left","Device ID","Radio Frequency","Re-capture","Trans-location","Collar Type","Collar Make","Collar Model","Satellite Network","Capture Date","Capture Date Year","Capture Date Month","Capture UTM Zone","Capture UTM Easting","Capture UTM Northing","Release Date","Animal Status","Collar Status","Collar Status Details","Deactivated?","Mortality Date","Malfunction Date","Retreival Date","Mortality UTM Zone","Mortality UTM Easting","Mortality UTM Northing","Max Transmission Date","2014/3","2014/4","2014/5","2014/6","2014/7","2014/8","2014/9","2014/10","2014/11","2014/12","2015/1","2015/2","2015/3","2015/4","2015/5","2015/6","2015/7","2015/8","2015/9","2015/10","2015/11","2015/12","2016/01","2016/02","2016/03","2016/04","2016/05","2016/06","2016/07","2016/08","2016/09","2016/10","2016/11","2016/12","2017/01","2017/02","2017/03","2017/04","2017/05","2017/06","2017/07","2017/08","2017/09","2017/10","2017/11","2017/12","2018/01","2018/02","2018/03","2018/04","2018/05","2018/06","2018/07","2018/08","2018/09","2018/10","2018/11","2018/12","2019/1","2019/2","2019/3","2019/4","2019/5","2019/6","2019/7","2019/8","2019/9","2019/10","2019/11","2019/12","2020/01","2020/02","Mortality Review","Comments","Database Notes","CID"
"Peace","Agnes Pelletier","Agnes Pelletier","Offline March 2019; last loc Jan 2019; loose connection, damage to antenna?","","Caribou","Southern Mountain-central group","Quintette","","18-13090H","car195","F","NR","NR","None","YELLOW w/ green button","37478.0","150.17","N","N","GPS","Lotek","LifeCycle","","42430.0","2016.0","3.0","","","","","Unknown","Deployed","Malfunction","Y","","","","","","","43496.125625","","","","","","","","","","","","","","","","","","","","","","","","","28.0","29.0","23.0","21.0","16.0","12.0","19.0","30.0","30.0","31.0","33.0","28.0","32.0","32.0","28.0","21.0","22.0","14.0","16.0","33.0","29.0","32.0","33.0","28.0","32.0","30.0","29.0","19.0","19.0","11.0","24.0","23.0","24.0","19.0","26.0","","","","","","","","","","","","","","","no locations for Feb, blank for March – possible intermittent connection or damage to GPS antenna. Agnes deactivated collar 2019Jun05.  Is it still deployed?.  Last heard 1-Nov-2018","","31.0"
"Peace","Agnes Pelletier","Agnes Pelletier","","","Caribou","Southern Mountain-central group","Quintette","","18-13088H","car192","F","NR","NR","None","None","37479.0","150.18","N","N","GPS","Lotek","LifeCycle","","42096.0","2015.0","4.0","","","","","Unknown","Deployed","Malfunction","Y","","","","","","","43292.958668982","","","","","","","","","","","","","","29.0","30.0","26.0","33.0","31.0","30.0","25.0","15.0","19.0","15.0","19.0","17.0","13.0","21.0","30.0","21.0","21.0","31.0","29.0","20.0","25.0","24.0","26.0","27.0","28.0","32.0","30.0","29.0","24.0","28.0","25.0","20.0","24.0","28.0","25.0","19.0","17.0","23.0","29.0","11.0","","","","","","","","","","","","","","","","","","","","",".  Last heard transmitting 11-Jul-2018","","32.0"
"Peace","Agnes Pelletier","Agnes Pelletier","","BCOGRIS","Caribou","Boreal","Snake-Sahtaneh","","18-12301H","SCEK150","F","SA","N","None","PINK","17636.0","150.189","N","N","VHF","Lotek","LMRT4","","41335.0","2013.0","3.0","10.0","598064.0","6481132.0","","Alive","Deployed","Active","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".  Still active Apr 30, 2018","","33.0"
"Peace","Agnes Pelletier","Agnes Pelletier","Loose connection; damage to antenna?","","Caribou","Southern Mountain-central group","Kennedy Siding","","18-13095H","car200","F","NR","NR","None","YELLOW","37480.0","150.19","N","N","GPS","Lotek","Lifecycle","","42436.0","2016.0","3.0","","","","","Unknown","Deployed","Malfunction","Y","","","","","","","43558.794895833","","","","","","","","","","","","","","","","","","","","","","","","","25.0","27.0","25.0","31.0","24.0","25.0","20.0","29.0","22.0","18.0","30.0","26.0","28.0","29.0","26.0","22.0","31.0","22.0","18.0","31.0","28.0","22.0","19.0","25.0","27.0","22.0","33.0","31.0","29.0","27.0","24.0","28.0","29.0","29.0","21.0","","","1.0","","","","","","","","","","","","no locations for Feb/March – possible intermittent connection or damage to GPS antenna. Agnes deactivated collar 2019Jun05.  Is it still deployed?.  Last heard 1-Nov-2018","","34.0"
"Cariboo","Carolyn Shores","","","Itcha-Ilgachuz_Rainbow_CharlotteAlplands Telemetry 2018-2023","Caribou","Southern Mountain-north group","Itcha-Ilgachuz","","17-10793","7","F","","","","","101801.0","150.19","N","N","GPS","Lotek","Lifecycle Pro 360 with timed dropoff","","43171.0","2018.0","3.0","10.0","372188.0","5774520.0","","Alive","Deployed","Active","","","","","","","","43667.917094907","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.0","9.0","7.0","12.0","12.0","11.0","14.0","9.0","6.0","11.0","12.0","8.0","13.0","8.0","16.0","13.0","8.0","","","","","","","","",".  ","","35.0"
"Thompson","Ernst Bevan","","","","Caribou","Southern Mountain-south group","Wells Gray South","","17-10742","17-10742","","","","","","81293.0","150.1999969482422","N","N","GPS","Lotek","LITETRACK IRIDIUM360 w TRD","Iridium","43183.0","2018.0","3.0","11.0","331074.0","5766232.0","","Potential Mortality","Deployed","Potential Mortality","","","","","","","","43547.958611111","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.0","78.0","26.0","22.0","29.0","28.0","20.0","20.0","25.0","136.0","127.0","81.0","95.0","","","","","","","","","","","","Unsure if mortality - spatial review, last data 23/03/2019. Email alert 24-Mar-19, and mortality file 24-Mar-19.",".  ","","36.0"
"Peace","Agnes Pelletier","Agnes Pelletier","","","Caribou","Southern Mountain-central group","Quintette","","18-13085H","car189","F","NR","NR","None","None","37481.0","150.2","N","N","GPS","Lotek","LifeCycle","","42096.0","2015.0","4.0","","","","","Unknown","Deployed","Offline","Y","","","","","","","43249.833668982","","","","","","","","","","","","","","29.0","21.0","26.0","22.0","17.0","26.0","30.0","30.0","29.0","30.0","27.0","20.0","16.0","23.0","24.0","23.0","21.0","24.0","24.0","26.0","25.0","23.0","25.0","24.0","19.0","25.0","11.0","20.0","15.0","22.0","31.0","29.0","31.0","31.0","24.0","30.0","30.0","25.0","","","","","","","","","","","","","","","","","","","","","","",".  Last heard transmitting 29-May-2018","","37.0"
"Peace","Agnes Pelletier","Agnes Pelletier","a lot of radio interference/squlech and couldn't hear any signal overtop on March 1 2019 flight","","Caribou","Northern Mountain","Pink Mountain","","16-8161","16-8161","F","A","NR","0-1034","None","","150.2","N","N","VHF","Lotek","Globalstar LIFECYCLE PRO 330","Globalstar","42437.0","2016.0","3.0","10.0","474768.0","6350997.0","","Alive","Deployed","Mortality","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".  ","","38.0"
"Peace","Agnes Pelletier","Agnes Pelletier","Low fix rate since deployment","BCOGRIS","Caribou","Boreal","Chinchaga","","17-10438","BC18-01","F","OA","N","None","YELLOW w/ green button 0-","101802.0","150.2","N","N","GPS","Lotek","Lifecycle Pro 330","Globalstar","43187.0","2018.0","3.0","10.0","594209.0","6457808.0","","Alive","Deployed","Active","","","","","","","","43869.4175","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","10.0","4.0","8.0","1.0","2.0","9.0","5.0","7.0","2.0","2.0","1.0","2.0","2.0","1.0","5.0","3.0","5.0","1.0","9.0","5.0","2.0","2.0","",".  Collar appeared to still be active upon program wrap up in Apr. 2018","","40.0"
"Peace","Agnes Pelletier","Agnes Pelletier","","","Caribou","Southern Mountain-central group","Quintette","","18-13078H","car182","F","NR","NR","None","None","37482.0","150.21","N","N","GPS","Lotek","LifeCycle","","42073.0","2015.0","3.0","","","","","Unknown","Deployed","Offline","Y","","","","","","","43249.833668982","","","","","","","","","","","","","22.0","32.0","32.0","21.0","30.0","31.0","29.0","23.0","28.0","24.0","22.0","24.0","29.0","32.0","16.0","28.0","31.0","31.0","28.0","29.0","21.0","27.0","33.0","29.0","32.0","30.0","31.0","26.0","31.0","20.0","28.0","32.0","31.0","32.0","30.0","29.0","29.0","31.0","26.0","","","","","","","","","","","","","","","","","","","","","","",".  Last heard transmitting 29-May-2018","","41.0"
"Peace","Agnes Pelletier","Agnes Pelletier","a lot of radio interference/squlech and couldn't hear any signal overtop on March 1 2019 flight","","Caribou","Northern Mountain","Pink Mountain","","16-8144","16-8144","F","A","NR","YELLOW 0-1019","NR","","150.22","N","N","VHF","Lotek","Globalstar LIFECYCLE PRO 330","Globalstar","42436.0","2016.0","3.0","10.0","477764.0","6382834.0","","Alive","Deployed","Active","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".  Biopsy included ","","42.0"
"Omineca","Mike Klaczek","","","","Caribou","Southern Mountain-south group","Hart Ranges","","17-10739","17-10739","F","","","","","81294.0","150.22","N","N","GPS","Lotek","LITETRACK IRIDIUM360","Iridium","43162.0","2018.0","3.0","10.0","550306.0","6078467.0","","Alive","Deployed","Active","","","","","","","","43879.583726852","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.0","47.0","156.0","133.0","54.0","37.0","8.0","31.0","44.0","48.0","52.0","51.0","53.0","49.0","151.0","147.0","87.0","40.0","25.0","34.0","37.0","56.0","52.0","31.0","",".  No status field provided.  ","","43.0"
"Cariboo","Carolyn Shores","","","Itcha-Ilgachuz_Rainbow_CharlotteAlplands Telemetry 2018-2023","Caribou","Southern Mountain-north group","Itcha-Ilgachuz","","17-10785","8","F","","","","","101803.0","150.22","N","N","GPS","Lotek","Lifecycle Pro 360 with timed dropoff","","43172.0","2018.0","3.0","10.0","398601.0","5770273.0","","Unknown","Deployed","Malfunction","","","43282.0","","","","","43281.709155093","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.0","6.0","10.0","14.0","","","","","","","","","","","","","","","","","","","","","",".  *Moved to Rainbows in May 2018","Malfunction","44.0"
"Peace","Agnes Pelletier","Agnes Pelletier","Grp included SCEK157 (151.890); bald; not lactating; heavy tick-related hair loss on neck; wolverine excavating 2 beaver lodges in vicinity of caribou","BCOGRIS","Caribou","Boreal","Snake-Sahtaneh","","18-12307H","SCEK156","F","A","Y","BLUE","None","17720.0","151.67","N","N","VHF","Lotek","LMRT4","","41336.0","2013.0","3.0","10.0","548968.0","6495527.0","","Alive","Deployed","Active","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".  Still active Apr 30, 2018","","79.0"
"Peace","Agnes Pelletier","Agnes Pelletier","","","Caribou","Northern Mountain","Frog","","17-10475","17-10475","F","MA","Unknown","0-1567","None","101829.0","151.704","N","N","GPS","Lotek","Lifecycle 330","","43169.0","2018.0","3.0","9.0","653627.0","6424380.0","","Mortality","Deployed","Mortality","Y","43281.0","","","9.0","658782.0","6425252.0","43266.542256944","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.0","","","2.0","","","","","","","","","","","","","","","","","","","","","Email alert Oct 20, Nov 3/4, 2018, and mortality file 25-Oct-18",".  ","20190829: Spatial check. Released into field 10-Mar-18.","80.0"
"Peace","Agnes Pelletier","Agnes Pelletier","","","Caribou","Southern Mountain-central group","Quintette","","18-12912H","car007","F","NR","NR","None","None","","151.72","N","N","VHF","","","","37355.0","2002.0","4.0","10.0","653121.0","6030380.0","","Unknown","Deployed","Malfunction","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".  Last heard transmitting 25-Mar-2016","","81.0"
"Peace","Agnes Pelletier","Agnes Pelletier","Grp included SCEK087 (151.979) and new collars SCEK129 (151.930) and SCEK130 (151.379);  lactating ","BCOGRIS","Caribou","Boreal","Maxhamish","","18-12278H","SCEK128","F","A","Y","None","PINK","17722.0","151.72","N","N","VHF","Lotek","LMRT4","","41332.0","2013.0","2.0","10.0","535212.0","6633720.0","","Alive","Deployed","Active","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".  Still active Apr 30, 2018","","82.0"
"Peace","Agnes Pelletier","Agnes Pelletier","Battery voltage dropping","","Caribou","Southern Mountain-central group","Kennedy Siding","","18-13094H","car199","F","NR","NR","BLUE","None","37461.0","150.0","N","N","GPS","Lotek","Lifecycle","","42436.0","2016.0","3.0","","","","","Unknown","Deployed","Malfunction","Y","","","","","","","43496.125393519","","","","","","","","","","","","","","","","","","","","","","","","","23.0","31.0","28.0","28.0","20.0","25.0","18.0","27.0","28.0","31.0","33.0","29.0","32.0","32.0","28.0","25.0","21.0","15.0","14.0","27.0","28.0","29.0","31.0","27.0","31.0","25.0","29.0","20.0","16.0","15.0","15.0","19.0","26.0","30.0","31.0","","","","","","","","","","","","","","","battery starts to drop for the last few locations. Agnes deactivated collar 2019Jun05.  Is it still deployed?.  Last heard 1-Nov-2018","","177.0"
"Peace","Agnes Pelletier","Agnes Pelletier","Avalanche shoot, collar not retrievable; Wildlife Infometrics","","Caribou","Northern Mountain","Muskwa","","16-8965","16-8965","F","A","NR","YELLOW 0-1051","None","41254.0","150.0","N","N","GPS","Lotek","LifeCycle","","42743.0","2017.0","1.0","","","","","Mortality","Deployed","Mortality","Y","43476.0","","","10.0","367421.0","6482044.0","43475.042291667","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.0","40.0","43.0","54.0","51.0","43.0","51.0","38.0","19.0","37.0","37.0","37.0","48.0","34.0","53.0","47.0","42.0","33.0","23.0","25.0","44.0","53.0","23.0","44.0","11.0","","","","","","","","","","","","","","POTENTIAL MORTALITY - spatial review, last data 20/04/2019. Email alert/mortality file 11-Jan-19.",".  This animal is still active. ","","178.0"
"Omineca","Mike Klaczek","","","","Caribou","Southern Mountain-south group","Hart Ranges","","17-10716","17-10716","F","","","","","81286.0","150.01","N","N","GPS","Lotek","LITETRACK IRIDIUM360","Iridium","43159.0","2018.0","2.0","10.0","599418.0","6000387.0","","Mortality","Deployed","Mortality","","","","","","","","43299.583923611","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.0","57.0","131.0","147.0","55.0","","","","","","","","","","","","","","","","","","","","",".  No status field provided.  ","","179.0"
"Peace","Agnes Pelletier","Agnes Pelletier","","BCOGRIS","Caribou","Boreal","Calendar","","18-12334H","SCEK181b","F","NR","N","None","RED w/ red button","20632.0","150.01","Y","N","GPS","Vectronics","GSM","","42425.0","2016.0","2.0","10.0","626976.0","6627936.0","","Alive","Deployed","Offline","Y","","43170.0","","","","","43162.50033564815","","","","","","","","","","","","","","","","","","","","","","","","8.0","56.0","51.0","57.0","46.0","43.0","43.0","53.0","52.0","56.0","54.0","56.0","49.0","52.0","53.0","43.0","41.0","37.0","40.0","45.0","54.0","55.0","51.0","49.0","21.0","3.0","","","","","","","","","","","","","","","","","","","","","","","","",".  Battery expired. Last heard Feb 2018","","180.0"
"Peace","Agnes Pelletier","Agnes Pelletier","","","Caribou","Southern Mountain-central group","Kennedy Siding","","15-7318","car201","F","NR","NR","None","PURPLE w/ green button","37462.0","150.01","N","N","GPS","Lotek","Lifecycle","","42808.0","2017.0","3.0","","","","","Unknown","Deployed","Offline","Y","","","","","","","43405.083668982","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.0","32.0","21.0","18.0","17.0","6.0","8.0","25.0","23.0","31.0","33.0","22.0","20.0","27.0","21.0","18.0","14.0","18.0","23.0","25.0","1.0","","","","","","","","","","","","","","","","",".  Last heard 1-Nov-2018","","181.0"
